Registro GPS
Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)	
1	2019-04-29 09:58:38.486	0,0	12,527283	41,893417	45,3	0,0	0,0	0,000
2	2019-04-29 09:58:39.486	1,0	12,527407	41,893271	45,0	126,0	69,0	0,019
3	2019-04-29 09:58:40.486	2,0	12,527407	41,893270	44,8	129,8	0,5	0,019
4	2019-04-29 09:58:48.486	10,0	12,527434	41,892874	44,8	124,9	19,8	0,063
5	2019-04-29 09:58:49.486	11,0	12,527357	41,892653	45,8	127,1	91,4	0,089
6	2019-04-29 09:58:50.486	12,0	12,527343	41,892519	46,2	125,8	53,8	0,104
7	2019-04-29 09:58:51.486	13,0	12,527305	41,892400	46,1	129,3	48,8	0,117
8	2019-04-29 09:58:52.486	14,0	12,527296	41,892289	37,2	131,7	44,8	0,130
9	2019-04-29 09:58:53.486	15,0	12,527282	41,892203	37,2	130,4	34,6	0,139
10	2019-04-29 09:58:54.486	16,0	12,527306	41,892154	37,3	126,9	20,7	0,145
11	2019-04-29 09:58:55.486	17,0	12,527269	41,892039	37,0	125,0	47,6	0,158
12	2019-04-29 09:58:56.486	18,0	12,527278	41,892011	37,4	134,0	11,5	0,161
13	2019-04-29 09:58:57.486	19,0	12,527267	41,891928	37,3	130,6	33,1	0,171
14	2019-04-29 09:58:58.486	20,0	12,527255	41,891823	37,4	129,0	42,3	0,182
15	2019-04-29 09:58:59.486	21,0	12,527265	41,891751	37,6	125,0	29,0	0,190
16	2019-04-29 09:59:00.486	22,0	12,527260	41,891658	37,4	128,8	37,2	0,201
17	2019-04-29 09:59:01.486	23,0	12,527257	41,891587	37,4	131,7	28,5	0,209
18	2019-04-29 09:59:02.486	24,0	12,527156	41,891570	45,7	136,4	30,7	0,217
19	2019-04-29 09:59:03.486	25,0	12,527191	41,891568	46,9	142,8	10,3	0,220
20	2019-04-29 09:59:04.486	26,0	12,527225	41,891545	47,2	148,5	13,9	0,224
21	2019-04-29 09:59:05.486	27,0	12,527194	41,891548	47,3	152,8	9,3	0,227
22	2019-04-29 09:59:06.486	28,0	12,527176	41,891499	78,0	248,5	20,4	0,232
23	2019-04-29 09:59:07.486	29,0	12,527209	41,891365	60,0	265,8	54,3	0,247
24	2019-04-29 09:59:08.486	30,0	12,527135	41,891316	51,1	286,2	29,5	0,256
25	2019-04-29 09:59:09.486	31,0	12,527072	41,891289	49,7	285,4	21,6	0,262
26	2019-04-29 09:59:10.486	32,0	12,527011	41,891278	49,6	284,8	18,9	0,267
27	2019-04-29 09:59:11.486	33,0	12,526940	41,891267	48,7	283,9	21,7	0,273
28	2019-04-29 09:59:12.486	34,0	12,526852	41,891256	48,7	283,5	26,4	0,280
29	2019-04-29 09:59:13.486	35,0	12,526776	41,891193	49,4	292,9	33,9	0,290
30	2019-04-29 09:59:14.486	36,0	12,526683	41,891188	49,6	287,3	28,0	0,297
31	2019-04-29 09:59:15.486	37,0	12,526596	41,891184	48,4	287,6	26,0	0,305
32	2019-04-29 09:59:16.486	38,0	12,526507	41,891189	46,2	304,6	26,5	0,312
33	2019-04-29 09:59:17.486	39,0	12,526421	41,891208	44,6	297,2	26,8	0,319
34	2019-04-29 09:59:18.486	40,0	12,526323	41,891221	42,7	286,5	29,6	0,328
35	2019-04-29 09:59:19.486	41,0	12,526230	41,891245	40,9	288,9	29,5	0,336
36	2019-04-29 09:59:20.486	42,0	12,526127	41,891263	42,3	290,3	31,5	0,344
37	2019-04-29 09:59:21.486	43,0	12,525994	41,891177	43,4	291,0	52,3	0,359
38	2019-04-29 09:59:22.486	44,0	12,525904	41,891198	43,9	293,0	28,3	0,367
39	2019-04-29 09:59:23.486	45,0	12,525819	41,891223	43,7	291,7	27,2	0,374
40	2019-04-29 09:59:24.486	46,0	12,525735	41,891245	43,2	287,4	26,6	0,382
41	2019-04-29 09:59:25.486	47,0	12,525663	41,891271	43,5	284,5	23,8	0,388
42	2019-04-29 09:59:26.486	48,0	12,525597	41,891295	43,7	290,8	22,0	0,395
43	2019-04-29 09:59:27.486	49,0	12,525512	41,891266	44,6	291,3	27,8	0,402
44	2019-04-29 09:59:28.486	50,0	12,525455	41,891265	44,5	297,0	17,0	0,407
